Hour,Price,Uni Value,Debt Value,Net PnL
232,2993.6778921790096,10042.642829322973,4989.463153631683,53.17967569128996
233,2989.7790700942987,10036.346171963496,4982.9651168238315,53.38105513966457
234,3002.6264327687236,10058.027483013087,5004.377387947873,53.65009506521437
235,3006.4356910450456,10064.590191216805,5010.726151741743,53.86403947506187
236,2994.2833958845385,10044.56828604209,4990.4723264742315,54.09595956785779
237,2995.4001982218215,10046.662740574531,4992.333663703036,54.32907687149509
238,2991.4381901880183,10040.265939785051,4985.730316980031,54.535622805020466
239,2996.5425433370456,10049.027109068042,4994.23757222841,54.78953683963209
240,2991.796661322196,10041.322522033071,4986.327768870327,54.99475316274402
241,2991.1102038818667,10040.401837279169,4985.183673136445,55.21816414272416
242,2994.132675140459,10045.686219286197,4990.2211252340985,55.46509405209872
243,2999.3215379600656,10054.57680067269,4998.8692299334425,55.707570739247785
244,2992.130023631271,10042.793604985927,4986.883372718785,55.91023226714242
245,2990.128950685875,10039.67196876856,4983.5482511431255,56.12371762543444
246,2987.2900037940635,10035.1419140889,4978.816672990106,56.32524109879341
247,2983.389185096649,10028.821027352624,4972.315308494415,56.50571885820864
248,2993.941878604981,10046.737138602617,4989.903131008302,56.83400759431515
249,2996.367844353143,10051.018532598127,4993.946407255238,57.072125342889194
250,2988.8212194981506,10038.622469193535,4981.368699163585,57.25377002994992
251,2994.312909096717,10048.042272696712,4990.521515161195,57.52075753551708
252,3007.0487167427423,10069.48974076356,5011.747861237904,57.74187952565626
253,3013.2644787661084,10080.025182816898,5022.107464610181,57.917718206717836
254,3004.121849740239,10065.081853489335,5006.869749567066,58.21210392226931
255,3001.2138617970036,10060.469977761797,5002.023102995006,58.44687476679064
256,3008.828046824364,10073.356785480246,5014.71341137394,58.6433741063056
257,3004.5725475495715,10066.516317058202,5007.620912582619,58.895404475582836
258,3007.2407068950934,10071.178446307096,5012.067844825156,59.11060148194065
259,3011.903339913631,10079.140709991378,5019.838899856052,59.30181013532547
260,3006.324862405667,10070.113827701134,5010.541437342778,59.57239035835573
261,3005.9669785935066,10069.747495308762,5009.944964322512,59.80253098625053
262,2986.543717408549,10037.542908291856,4977.5728623475825,59.97004594427381
263,2980.4312241603434,10027.499266604313,4967.385373600572,60.113893003740486
264,2978.9260803344605,10025.193384983691,4964.876800557435,60.31658442625667
265,2971.5012410507316,10012.892637024133,4952.502068417886,60.39056860624714
266,2981.2185194454773,10029.508997965773,4968.697532409129,60.81146555664418
267,2972.7035749024135,10015.381296132207,4954.505958170689,60.8753379615182
268,2970.088482190898,10011.18833410395,4950.147470318164,61.040863785786314
269,2970.8652059012834,10012.73043578742,4951.442009835472,61.28842595194783
270,2979.4412176731134,10027.430793071884,4965.735362788522,61.69543028336193
271,2970.8973575978043,10013.241428858813,4951.495595996341,61.745832862472525
272,2977.8166830212876,10025.150769073602,4963.02780503548,62.12296403812161
273,2977.877628004584,10025.481785904889,4963.12938000764,62.3524058972489
274,2972.037736476647,10015.85430165472,4953.3962274610785,62.45807419364064
275,2974.785784090726,10020.723987745656,4957.976306817876,62.747680927779584
276,2975.9703397775293,10022.95101344269,4959.950566295883,63.00044714680644
277,2972.400027919993,10017.15149832498,4954.000046533322,63.151451791657564
278,2972.815016325121,10018.080994507267,4954.691693875202,63.38930063206499
279,2970.524966732209,10014.438105255502,4950.874944553682,63.56316070181947
280,2971.19945551194,10015.807061598116,4951.9990925199,63.80796907821605
281,2975.1367065104428,10022.686089832578,4958.561177517405,64.12491231517288
282,2984.588923653973,10038.827531042394,4974.314872756621,64.51265828577289
283,2977.209321154647,10026.638468976838,4962.015535257746,64.62293371909254
284,2989.9374250121227,10048.2552741762,4983.229041686872,65.02623248932741
285,2978.2869418394007,10028.911218893525,4963.811569732335,65.09964916119043
286,2977.382959924303,10027.616102423595,4962.304933207172,65.31116921642297
287,2980.888313030664,10033.74793609329,4968.147188384441,65.60074770884967
288,2982.5639945886287,10036.794684068867,4970.939990981048,65.85469308781921
289,2978.8518243005597,10030.77607419673,4964.753040500933,66.0230336957975
290,2977.6121516316152,10028.915652753076,4962.686919386026,66.22873336705015
291,2974.677667425202,10024.194470255192,4957.796112375337,66.39835787985521
292,2971.1733927660234,10018.502719370625,4951.955654610039,66.54706476058527
293,2976.2263148136326,10027.264046237773,4960.377191356055,66.88685488171814
294,2978.352191462446,10031.075948080887,4963.920319104077,67.15562897680957
295,2974.2275924737082,10024.347943848728,4957.04598745618,67.30195639254816
296,2979.583638870932,10033.606678873542,4965.972731451554,67.63394742198852
297,2981.415450977527,10036.917923214585,4969.025751629212,67.89217158537303
298,2986.266352384362,10045.296658306463,4977.11058730727,68.18607099919245
299,2990.0291999347237,10051.833657905781,4983.381999891207,68.4516580145746
300,2985.075868777723,10043.754873554608,4975.126447962872,68.62842559173623
301,2981.7333757181123,10038.365944019226,4969.555626196854,68.81031782237187
302,2986.1931682300633,10046.087084020124,4976.988613716772,69.09847030335186
303,2989.840761192832,10052.431250823802,4983.067935321386,69.36331550241539
304,2989.7157789299627,10052.45019021386,4982.859631549938,69.59055866392191
305,2990.417412305909,10053.853712152044,4984.029020509848,69.82469164219583
306,2998.0686866100277,10066.870913895742,4996.781144350047,70.08976954569516
307,2994.523640857678,10061.179862001887,4990.872734762796,70.30712723909073
308,2997.802026210158,10066.882641864344,4996.336710350264,70.54593151407971
309,2996.5900042023172,10065.088081593016,4994.316673670529,70.77140792248701
310,2995.2856855131936,10063.138107798422,4992.142809188656,70.995298609766
311,3001.875224446827,10074.356786053648,5003.125374078045,71.2314119756029
312,3006.8349109025094,10082.833262524595,5011.391518170849,71.44174435374589
313,3011.731071243802,10091.184054114694,5019.551785406337,71.6322687083566
314,3019.604847992167,10104.432930157502,5032.674746653612,71.75818350389
315,3019.7316972605113,10104.870587186228,5032.886162100853,71.98442508537482
316,3023.853137256778,10111.893524079385,5039.755228761297,72.13829531808824
317,3021.97731711098,10109.03108435124,5036.628861851634,72.40222249960607
318,3023.9371990985064,10112.488584193885,5039.895331830844,72.59325236304085
319,3023.1502126771525,10111.420600841755,5038.583687795254,72.83691304650074
320,3023.736736310132,10112.615058998073,5039.5612271835535,73.05383181451998
321,3027.338075570655,10118.769447532257,5045.563459284425,73.20598824783156
322,3022.3880656186875,10110.849666637272,5037.313442697813,73.53622393945898
323,3035.0625797755106,10131.900963898252,5058.437632959184,73.46333093906742
324,3028.962067636422,10122.123202334225,5048.27011272737,73.85308960685506
325,3021.615528828227,10110.261123713275,5036.025881380378,74.23524233289663
326,3028.6223719958593,10122.021756227763,5047.703953326432,74.31780290133065
327,3033.4214649481573,10130.125446589425,5055.7024415802625,74.42300500916281
328,3037.210266021537,10136.557897379336,5062.017110035895,74.54078734344148
329,3041.029500180227,10143.028297009689,5068.3825003003785,74.64579670931016
330,3040.9550154974086,10143.134985004801,5068.258359162348,74.876625842453
331,3035.5028885429647,10134.44846286822,5059.171480904942,75.27698196327856
332,3035.96313334146,10135.430264319668,5059.938555569101,75.49170875056734
333,3031.8542403715755,10128.925549601743,5053.090400619293,75.83514898244994
334,3037.7728516475695,10138.84798931133,5062.954752745949,75.89323656538181
335,3036.879529181349,10137.614959326038,5061.465881968915,76.14907735712313
336,3031.869794764349,10129.635995362134,5053.116324607248,76.51967075488574
337,3029.9216208953776,10126.667123674451,5049.869368158963,76.79775551548846
338,3032.4249543407295,10131.00312836453,5054.041590567883,76.96153779664655
339,3029.007976134601,10125.62327312084,5048.3466268910015,77.27664622983866
340,3024.0310451177133,10117.6659607697,5040.051741862856,77.61421890684414
341,3025.5052397166032,10120.321021894662,5042.508732861005,77.81228903365718
342,3026.987898177594,10122.988212220043,5044.979830295991,78.00838192405263
343,3023.9204317577082,10118.168733548164,5039.8673862628475,78.3013472853163
344,3021.073008500727,10113.704421269478,5035.121680834545,78.58274043493293
345,3022.475413508301,10116.244764301533,5037.4590225138345,78.7857417876985
346,3013.734478591322,10102.036123056461,5022.890797652203,79.14532540425807
347,3005.2629633276497,10088.21212929339,5008.771605546083,79.44052374730654
348,3000.947836629232,10081.259718740364,5001.579727715387,79.67999102497743
349,2999.6670224984823,10079.353667096484,4999.44503749747,79.9086295990137
350,3001.532840878553,10082.690742348503,5002.554734797589,80.13600755091375
351,3010.4025807432267,10097.657920344534,5017.337634572044,80.32028577249002
352,3015.5708135467826,10106.44420360185,5025.951355911305,80.4928476905452
353,3014.606355883109,10105.07716601331,5024.343926471848,80.73323954146235
354,3014.4917053009253,10105.115777222012,5024.152842168209,80.96293505380345
355,3008.453527865991,10095.338017912009,5014.089213109985,81.24880480202319
356,3008.342138109601,10095.381456714651,5013.903563516002,81.47789319864933
357,3006.605871452209,10092.726783254502,5011.009785753682,81.71699750082007
358,3008.5470728832283,10096.178196551811,5014.245121472048,81.93307507976351
359,3003.5736617096536,10088.142565564214,5005.956102849423,82.18646271479156
360,3006.695073546325,10093.559891375258,5011.158455910542,82.40143546471609
361,3015.92617225921,10109.086617288436,5026.543620432017,82.54299685641945
362,3015.270218446971,10108.230164739489,5025.450364078285,82.77980066120381
363,3017.6937306539626,10112.464512141882,5029.489551089938,82.97496105194386
364,3021.861893018482,10119.571401362668,5036.436488364137,83.13491299853013
365,3019.4379999546836,10115.801386795658,5032.396666591139,83.40472020451853
366,3020.791569967054,10118.263071848305,5034.6526166117565,83.61045523654866
367,3020.8676489613217,10118.616866931834,5034.779414935537,83.8374519962972
368,3021.457839739344,10119.81847509961,5035.76306623224,84.0554088673698
369,3016.790215844735,10112.341443417312,5027.983693074559,84.3577503427532
370,3016.938103577245,10112.814163860048,5028.2301726287415,84.58399123130675
371,3019.944460530092,10118.007080766869,5033.240767550154,84.76631321671539
372,3028.7219379486746,10132.687620530029,5047.8698965811245,84.81772394890413
373,3034.5382447688635,10142.457672200711,5057.563741281439,84.89393091927195
374,3047.6342516531786,10164.068864081168,5079.390419421965,84.6784446592028
375,3042.9606494166114,10156.682281353062,5071.6010823610195,85.08119899204212
376,3048.2741578943806,10165.566726204797,5080.456929823968,85.10979638082972
377,3049.3921162468782,10167.613354121666,5082.3201937447975,85.2931603768684
378,3062.7765397041812,10189.532166203688,5104.627566173635,84.90460003005228
379,3057.8292656038434,10181.759944046222,5096.382109339739,85.37783470648264
380,3052.698123494019,10173.66943823579,5087.830205823365,85.83923241242428
381,3049.0407865049388,10167.955280991595,5081.734644174898,86.22063681669715
382,3036.116566255084,10147.096943981282,5060.194277091807,86.90266688947486
383,3032.9257370813134,10142.098213218474,5054.8762284688555,87.22198474961897
384,3028.3244449821414,10134.774239575425,5047.2074083035695,87.56683127185534
385,3029.2354643468434,10136.499222410464,5048.725773911406,87.77344849905876
386,3031.3066907641646,10140.127720655017,5052.1778179402745,87.94990271474217
387,3042.702556419648,10159.000967015936,5071.17092736608,87.83003964985619
388,3048.491770968278,10168.660471438723,5080.819618280464,87.84085315825905
389,3044.9764272790358,10163.165201365538,5074.960712131727,88.20448923381173
390,3039.5100368427784,10154.473281391447,5065.850061404631,88.62321998681637
391,3042.5018948719926,10159.5868219831,5070.836491453321,88.7503305297796
392,3034.478867732197,10146.69830293833,5057.464779553662,89.23352338466793
393,3045.6142952023647,10165.117748795155,5076.0238253372745,89.09392345788092
394,3052.8070146330324,10177.042545812685,5088.011691055054,89.03085475763055
395,3049.9437527721957,10172.61978482025,5083.23958795366,89.38019686659027
396,3039.511706566866,10155.8458728389,5065.85284427811,89.99302856078975
